Source,Year,Mean
GISTEMP,1963,2.62
GISTEMP,1964,2.65
GISTEMP,1965,2.68
GISTEMP,1966,2.71
GISTEMP,1967,2.74
GISTEMP,1968,2.77
GISTEMP,1969,2.80
GISTEMP,1970,2.83
GISTEMP,1971,2.86
GISTEMP,1972,2.89
GISTEMP,1973,2.92
GISTEMP,1974,2.95
GISTEMP,1975,2.98
GISTEMP,1976,3.01
GISTEMP,1977,3.04
GISTEMP,1978,3.07
GISTEMP,1979,3.10
GISTEMP,1980,3.13
GISTEMP,1981,3.16
GISTEMP,1982,3.19
GISTEMP,1983,3.22
GISTEMP,1984,3.25
GISTEMP,1985,3.28
GISTEMP,1986,3.31
GISTEMP,1987,3.34
GISTEMP,1988,3.37
GISTEMP,1989,3.40
GISTEMP,1990,3.43
GISTEMP,1991,3.46
GISTEMP,1992,3.49
GISTEMP,1993,3.52
GISTEMP,1994,3.55
GISTEMP,1995,3.58
GISTEMP,1996,3.61
GISTEMP,1997,3.64
GISTEMP,1998,3.67
GISTEMP,1999,3.70
GISTEMP,2000,3.73
GISTEMP,2001,3.76
GISTEMP,2002,3.79
GISTEMP,2003,3.82
GISTEMP,2004,3.85
GISTEMP,2005,3.88
GISTEMP,2006,3.91
GISTEMP,2007,3.94
GISTEMP,2008,3.97
GISTEMP,2009,4.00
GISTEMP,2010,4.03
GISTEMP,2011,4.06
GISTEMP,2012,4.09
GISTEMP,2013,4.12
GISTEMP,2014,4.15
GISTEMP,2015,4.18
GISTEMP,2016,4.21
GISTEMP,2017,4.24
GISTEMP,2018,4.27
GISTEMP,2019,4.30
GISTEMP,2020,4.33
GISTEMP,2021,4.36
GISTEMP,2022,4.39
GISTEMP,2023,4.42
gcag,1850,0.05
gcag,1851,0.08
gcag,1852,0.11
gcag,1853,0.14
gcag,1854,0.17
gcag,1855,0.20
gcag,1856,0.23
gcag,1857,0.26
gcag,1858,0.29
gcag,1859,0.32
gcag,1860,0.35
gcag,1861,0.38
gcag,1862,0.41
gcag,1863,0.44
gcag,1864,0.47
gcag,1865,0.50
gcag,1866,0.53
gcag,1867,0.56
gcag,1868,0.59
gcag,1869,0.62
gcag,1870,0.65
gcag,1871,0.68
gcag,1872,0.71
gcag,1873,0.74
gcag,1874,0.77
gcag,1875,0.80
gcag,1876,0.83
gcag,1877,0.86
gcag,1878,0.89
gcag,1879,0.92
gcag,1880,0.95
gcag,1881,0.98
gcag,1882,1.01
gcag,1883,1.04
gcag,1884,1.07
gcag,1885,1.10
gcag,1886,1.13
gcag,1887,1.16
gcag,1888,1.19
gcag,1889,1.22
gcag,1890,1.25
gcag,1891,1.28
gcag,1892,1.31
gcag,1893,1.34
gcag,1894,1.37
gcag,1895,1.40
gcag,1896,1.43
gcag,1897,1.46
gcag,1898,1.49
gcag,1899,1.52
gcag,1900,1.55
gcag,1901,1.58
gcag,1902,1.61
gcag,1903,1.64
gcag,1904,1.67
gcag,1905,1.70
gcag,1906,1.73
gcag,1907,1.76
gcag,1908,1.79
gcag,1909,1.82
gcag,1910,1.85
gcag,1911,1.88
gcag,1912,1.91
gcag,1913,1.94
gcag,1914,1.97
gcag,1915,2.00
gcag,1916,2.03
gcag,1917,2.06
gcag,1918,2.09
gcag,1919,2.12
gcag,1920,2.15
gcag,1921,2.18
gcag,1922,2.21
gcag,1923,2.24
gcag,1924,2.27
gcag,1925,2.30
gcag,1926,2.33
gcag,1927,2.36
gcag,1928,2.39
gcag,1929,2.42
gcag,1930,2.45
gcag,1931,2.48
gcag,1932,2.51
gcag,1933,2.54
gcag,1934,2.57
gcag,1935,2.60
gcag,1936,2.63
gcag,1937,2.66
gcag,1938,2.69
gcag,1939,2.72
gcag,1940,2.75
gcag,1941,2.78
gcag,1942,2.81
gcag,1943,2.84
gcag,1944,2.87
gcag,1945,2.90
gcag,1946,2.93
gcag,1947,2.96
gcag,1948,2.99
gcag,1949,3.02
gcag,1950,3.05
gcag,1951,3.08
gcag,1952,3.11
gcag,1953,3.14
gcag,1954,3.17
gcag,1955,3.20
gcag,1956,3.23
gcag,1957,3.26
gcag,1958,3.29
gcag,1959,3.32
gcag,1960,3.35
gcag,1961,3.38
gcag,1962,3.41
gcag,1963,3.44
gcag,1964,3.47
gcag,1965,3.50
gcag,1966,3.53
gcag,1967,3.56
gcag,1968,3.59
gcag,1969,3.62
gcag,1970,3.65
gcag,1971,3.68
gcag,1972,3.71
gcag,1973,3.74
gcag,1974,3.77
gcag,1975,3.80
gcag,1976,3.83
gcag,1977,3.86
gcag,1978,3.89
gcag,1979,3.92
gcag,1980,3.95
gcag,1981,3.98
gcag,1982,4.01
gcag,1983,4.04
gcag,1984,4.07
gcag,1985,4.10
gcag,1986,4.13
gcag,1987,4.16
gcag,1988,4.19
gcag,1989,4.22
gcag,1990,4.25
gcag,1991,4.28
gcag,1992,4.31
gcag,1993,4.34
gcag,1994,4.37
gcag,1995,4.40
gcag,1996,4.43
gcag,1997,4.46
gcag,1998,4.49
gcag,1999,4.52
gcag,2000,4.55
gcag,2001,4.58
gcag,2002,4.61
gcag,2003,4.64
gcag,2004,4.67
gcag,2005,4.70
gcag,2006,4.73
gcag,2007,4.76
gcag,2008,4.79
gcag,2009,4.82
gcag,2010,4.85
gcag,2011,4.88
gcag,2012,4.91
gcag,2013,4.94
gcag,2014,4.97
gcag,2015,5.00
gcag,2016,5.03
gcag,2017,5.06
gcag,2018,5.09
gcag,2019,5.12
gcag,2020,5.15
gcag,2021,5.18
gcag,2022,5.21
gcag,2023,5.24
gcag,2024,5.27
